Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Aldosivi,23,7.0,2,81,14,17.3,11.57,2.0,0.01,0.07,1,1
Arg Juniors,24,6.0,4,99,38,38.4,16.5,6.33,0.04,0.11,0,1
Atlé Tucumán,22,8.0,9,101,31,30.7,12.62,3.87,0.05,0.16,4,4
Banfield,25,8.0,9,91,28,30.8,11.37,3.5,0.1,0.32,0,0
Barracas Central,24,8.0,6,77,30,39.0,9.62,3.75,0.06,0.17,1,1
Belgrano,23,8.0,9,96,32,33.3,12.0,4.0,0.09,0.28,0,1
Boca Juniors,24,8.0,9,89,27,30.3,11.12,3.38,0.09,0.3,1,1
Cen. Córdoba–SdE,24,8.0,3,73,18,24.7,9.12,2.25,0.04,0.17,0,0
Defensa y Justicia,23,8.0,7,71,26,36.6,8.87,3.25,0.08,0.23,1,2
Deportivo Riestra,22,8.0,2,77,23,29.9,9.62,2.87,0.03,0.09,0,0
Estudiantes–LP,25,8.0,7,107,36,33.6,13.37,4.5,0.07,0.19,0,0
Estudiantes–RC,27,8.0,3,85,20,23.5,10.62,2.5,0.04,0.15,0,0
Gimnasia–LP,24,8.0,9,73,28,38.4,9.12,3.5,0.11,0.29,1,1
Gimnasia–M,26,8.0,5,85,31,36.5,10.62,3.87,0.06,0.16,0,0
Huracán,23,8.0,8,82,26,31.7,10.25,3.25,0.09,0.27,1,1
Ind. Rivadavia,22,8.0,11,105,37,35.2,13.12,4.62,0.1,0.3,0,0
Independiente,22,8.0,10,113,33,29.2,14.12,4.12,0.09,0.3,0,0
Instituto,24,8.0,9,94,32,34.0,11.75,4.0,0.06,0.19,3,4
Lanús,25,7.0,9,72,30,41.7,10.29,4.29,0.13,0.3,0,0
Newell's Old Boys,26,8.0,5,90,25,27.8,11.25,3.12,0.04,0.16,1,1
Platense,23,8.0,4,76,24,31.6,9.5,3.0,0.04,0.13,1,1
Racing Club,25,8.0,11,102,31,30.4,12.75,3.87,0.1,0.32,1,1
River Plate,25,8.0,8,129,41,31.8,16.12,5.12,0.06,0.2,0,0
Rosario Central,21,8.0,10,95,38,40.0,11.87,4.75,0.09,0.24,1,1
San Lorenzo,24,8.0,7,77,23,29.9,9.62,2.87,0.08,0.26,1,1
Sarmiento–J,25,8.0,6,93,34,36.6,11.62,4.25,0.04,0.12,2,2
Talleres–C,23,8.0,7,107,39,36.4,13.37,4.87,0.07,0.18,0,0
Tigre,25,8.0,14,106,41,38.7,13.25,5.12,0.13,0.34,0,0
Unión,22,8.0,10,133,40,30.1,16.62,5.0,0.07,0.23,1,1
Vélez Sarsfield,23,8.0,9,85,26,30.6,10.62,3.25,0.11,0.35,0,0
