Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90
Aldosivi,24,29.1,8,720,90,100,8.0,88,80,49,38,23,58,0.5,3,9,-6,-0.75
Arg Juniors,24,28.0,7,630,90,100,7.0,77,81,44,33,21,50,1.43,4,3,1,0.14
Atlé Tucumán,22,28.3,9,810,90,100,9.0,99,81,57,41,21,66,0.67,10,14,-4,-0.44
Banfield,25,26.7,9,810,90,100,9.0,99,77,54,43,28,65,1.11,10,11,-1,-0.11
Barracas Central,25,28.7,9,810,90,100,9.0,99,82,61,38,22,70,1.33,8,8,0,0.0
Belgrano,24,30.3,9,810,90,100,9.0,99,80,56,43,22,64,2.0,11,7,4,0.44
Boca Juniors,24,27.6,9,810,90,100,9.0,99,83,68,31,21,77,1.44,10,6,4,0.44
Cen. Córdoba–SdE,24,27.6,9,810,90,100,9.0,99,80,54,45,21,63,1.0,4,7,-3,-0.33
Defensa y Justicia,23,26.9,9,810,90,100,9.0,99,80,58,42,22,58,1.44,8,6,2,0.22
Deportivo Riestra,24,30.0,9,810,90,100,9.0,99,81,57,42,21,65,0.67,2,5,-3,-0.33
Estudiantes–LP,25,28.0,9,810,90,100,9.0,99,80,56,42,23,66,1.67,7,4,3,0.33
Estudiantes–RC,27,28.3,9,810,90,100,9.0,99,78,56,44,28,64,0.44,3,13,-10,-1.11
Gimnasia–LP,25,27.6,9,810,90,100,9.0,99,80,54,45,20,63,1.56,11,11,0,0.0
Gimnasia–M,26,27.6,9,810,90,100,9.0,99,77,53,45,26,62,1.0,5,10,-5,-0.56
Huracán,24,29.8,9,810,90,100,9.0,99,81,56,40,18,66,1.33,9,9,0,0.0
Ind. Rivadavia,22,26.8,9,810,90,100,9.0,99,83,57,42,17,66,1.89,13,10,3,0.33
Independiente,23,29.7,9,810,90,100,9.0,99,82,58,39,20,69,1.56,15,11,4,0.44
Instituto,25,28.3,9,810,90,100,9.0,99,80,57,43,22,65,0.89,9,12,-3,-0.33
Lanús,25,29.7,8,720,90,100,8.0,88,82,48,40,17,56,1.5,10,12,-2,-0.25
Newell's Old Boys,27,27.0,9,810,90,100,9.0,99,78,54,44,27,63,0.33,6,17,-11,-1.22
Platense,24,26.6,9,810,90,100,9.0,99,81,54,45,20,63,1.56,6,4,2,0.22
Racing Club,25,27.6,9,810,90,100,9.0,99,79,55,42,23,66,1.33,11,9,2,0.22
River Plate,25,26.4,9,810,90,100,9.0,99,80,57,41,23,66,1.56,10,9,1,0.11
Rosario Central,23,27.0,9,810,90,100,9.0,99,83,67,32,21,76,1.67,10,6,4,0.44
San Lorenzo,25,25.7,9,810,90,100,9.0,99,80,57,43,23,64,1.44,8,6,2,0.22
Sarmiento–J,25,28.8,9,810,90,100,9.0,99,78,53,45,25,62,1.11,6,9,-3,-0.33
Talleres–C,26,26.9,9,810,90,100,9.0,99,81,57,42,21,58,1.56,10,9,1,0.11
Tigre,25,27.1,9,810,90,100,9.0,99,83,59,40,18,68,1.78,15,8,7,0.78
Unión,23,26.8,9,810,90,100,9.0,99,82,59,39,20,69,1.67,15,9,6,0.67
Vélez Sarsfield,24,28.4,9,810,90,100,9.0,99,83,60,39,18,68,2.11,10,5,5,0.56
