Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
vs Aldosivi,24,8.0,15,0,0,81,114,3,152,77,89,0
vs Arg Juniors,24,7.0,17,1,0,98,64,15,90,87,75,0
vs Atlé Tucumán,22,9.0,24,1,0,125,106,12,123,95,110,0
vs Banfield,25,9.0,28,1,0,117,93,8,146,83,105,0
vs Barracas Central,25,9.0,27,0,0,109,109,28,239,102,103,0
vs Belgrano,24,9.0,13,1,0,81,83,19,203,95,121,1
vs Boca Juniors,24,9.0,26,0,0,135,84,9,131,79,99,0
vs Cen. Córdoba–SdE,24,9.0,17,1,0,116,120,11,201,77,90,0
vs Defensa y Justicia,23,9.0,26,1,1,109,83,12,169,64,88,0
vs Deportivo Riestra,24,9.0,25,1,1,86,161,11,176,72,83,0
vs Estudiantes–LP,25,9.0,23,1,0,109,96,21,192,67,91,0
vs Estudiantes–RC,27,9.0,21,1,1,108,99,27,177,83,95,0
vs Gimnasia–LP,25,9.0,25,1,1,125,108,6,218,89,79,0
vs Gimnasia–M,26,9.0,20,1,1,112,103,22,213,70,108,0
vs Huracán,24,9.0,36,2,1,131,110,10,127,96,89,0
vs Ind. Rivadavia,22,9.0,22,1,1,95,92,10,135,91,80,1
vs Independiente,23,9.0,13,0,0,111,96,27,148,89,138,1
vs Instituto,25,9.0,29,0,0,115,111,15,121,96,75,0
vs Lanús,25,8.0,17,2,0,90,92,6,175,78,92,0
vs Newell's Old Boys,27,9.0,21,0,0,123,135,9,173,78,96,0
vs Platense,24,9.0,22,0,0,106,98,22,130,78,98,1
vs Racing Club,25,9.0,18,0,0,95,119,31,157,99,101,0
vs River Plate,25,9.0,19,3,0,104,106,28,127,110,118,0
vs Rosario Central,23,9.0,26,0,0,146,89,19,152,78,98,0
vs San Lorenzo,25,9.0,22,0,0,118,112,14,186,65,107,0
vs Sarmiento–J,25,9.0,27,3,2,117,130,13,168,81,113,0
vs Talleres–C,26,9.0,22,1,1,101,104,13,183,99,119,1
vs Tigre,25,9.0,35,1,0,121,93,9,220,67,92,0
vs Unión,23,9.0,23,1,0,97,111,8,156,103,91,1
vs Vélez Sarsfield,24,9.0,23,0,0,115,103,21,182,115,104,0
