Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP
1,Vélez Sarsfield,8,5,3,0,9,4,5,18,2.25
2,Estudiantes–LP,8,4,3,1,7,3,4,15,1.88
3,Unión,8,4,2,2,11,5,6,14,1.75
4,Independiente,8,3,4,1,11,7,4,13,1.63
5,Platense,8,3,4,1,5,3,2,13,1.63
6,Boca Juniors,8,3,3,2,9,5,4,12,1.5
7,Defensa y Justicia,8,2,6,0,7,5,2,12,1.5
8,San Lorenzo,8,3,3,2,7,5,2,12,1.5
9,Talleres–C,8,3,2,3,8,9,-1,11,1.38
10,Lanús,7,2,3,2,9,12,-3,9,1.29
11,Instituto,8,2,2,4,9,10,-1,8,1.0
12,Cen. Córdoba–SdE,8,2,2,4,3,6,-3,8,1.0
13,Gimnasia–M,8,2,2,4,5,10,-5,8,1.0
14,Deportivo Riestra,8,0,5,3,2,5,-3,5,0.63
15,Newell's Old Boys,8,0,2,6,5,16,-11,2,0.25
