Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP
1,Boca Juniors,67,32,20,15,91,51,40,116,1.73
2,Rosario Central,67,30,22,15,77,52,25,112,1.67
3,Racing Club,67,33,11,23,95,68,27,110,1.64
4,Vélez Sarsfield,67,30,19,18,73,54,19,109,1.63
5,River Plate,67,28,23,16,87,53,34,107,1.6
6,Huracán,67,27,24,16,65,52,13,105,1.57
7,Independiente,67,24,28,15,73,49,24,100,1.49
8,Tigre,67,25,23,19,73,62,11,98,1.46
9,Ind. Rivadavia,67,25,23,19,69,67,2,98,1.46
10,Arg Juniors,65,26,18,21,68,53,15,96,1.48
11,Lanús,66,23,26,17,70,67,3,95,1.44
12,Unión,67,24,21,22,69,61,8,93,1.39
13,Estudiantes–LP,67,23,24,20,78,74,4,93,1.39
14,Talleres–C,67,23,24,20,62,63,-1,93,1.39
15,Deportivo Riestra,67,21,29,17,60,51,9,92,1.37
16,San Lorenzo,67,23,23,21,54,52,2,92,1.37
17,Belgrano,67,19,30,18,69,73,-4,87,1.3
18,Platense,67,21,24,22,50,57,-7,87,1.3
19,Defensa y Justicia,67,19,25,23,66,79,-13,82,1.22
20,Cen. Córdoba–SdE,67,20,21,26,70,75,-5,81,1.21
21,Gimnasia–LP,67,22,15,30,53,67,-14,81,1.21
22,Barracas Central,67,18,27,22,60,75,-15,81,1.21
23,Atlé Tucumán,67,22,13,32,71,83,-12,79,1.18
24,Instituto,67,20,18,29,66,78,-12,78,1.16
25,Sarmiento–J,67,15,25,27,48,73,-25,70,1.04
26,Banfield,67,17,18,32,60,85,-25,69,1.03
27,Newell's Old Boys,67,15,18,34,52,89,-37,63,0.94
28,Aldosivi,39,9,9,21,33,54,-21,36,0.92
29,Gimnasia–M,8,2,2,4,5,10,-5,8,1.0
30,Estudiantes–RC,8,1,1,6,3,12,-9,4,0.5
