Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP
1,Ind. Rivadavia,8,5,2,1,12,8,4,17,2.13
2,Tigre,8,4,3,1,14,7,7,15,1.88
3,Belgrano,8,4,3,1,10,7,3,15,1.88
4,Rosario Central,8,4,2,2,10,6,4,14,1.75
5,Huracán,8,3,3,2,8,7,1,12,1.5
6,Racing Club,8,3,2,3,11,9,2,11,1.38
7,River Plate,8,3,2,3,8,8,0,11,1.38
8,Gimnasia–LP,8,3,2,3,9,10,-1,11,1.38
9,Banfield,8,3,1,4,9,9,0,10,1.25
10,Arg Juniors,6,2,3,1,4,3,1,9,1.5
11,Barracas Central,8,2,3,3,6,7,-1,9,1.13
12,Sarmiento–J,8,3,0,5,6,9,-3,9,1.13
13,Atlé Tucumán,8,1,2,5,9,13,-4,5,0.63
14,Estudiantes–RC,8,1,1,6,3,12,-9,4,0.5
15,Aldosivi,7,0,3,4,2,8,-6,3,0.43
