Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
Aldosivi,23,7.0,19,0,0,104,61,6,170,65,84,0
Arg Juniors,24,6.0,7,0,0,59,83,21,147,69,62,0
Atlé Tucumán,22,8.0,23,1,1,101,100,20,152,82,93,0
Banfield,25,8.0,19,2,1,91,107,17,149,74,98,0
Barracas Central,24,8.0,20,0,0,103,93,9,80,86,80,0
Belgrano,23,8.0,17,0,0,83,74,9,146,68,95,0
Boca Juniors,24,8.0,15,0,0,79,118,18,185,79,94,0
Cen. Córdoba–SdE,24,8.0,26,0,0,114,101,11,141,86,91,0
Defensa y Justicia,23,8.0,12,1,0,74,90,12,135,90,88,0
Deportivo Riestra,22,8.0,35,0,0,149,67,15,116,79,87,0
Estudiantes–LP,25,8.0,21,1,1,92,94,6,163,53,96,0
Estudiantes–RC,27,8.0,21,0,0,101,94,13,142,94,71,1
Gimnasia–LP,24,8.0,22,2,0,109,108,17,143,75,112,0
Gimnasia–M,26,8.0,13,1,0,94,87,10,154,87,95,1
Huracán,23,8.0,26,3,2,102,116,15,131,71,81,0
Ind. Rivadavia,22,8.0,14,0,0,95,78,24,146,71,78,0
Independiente,22,8.0,21,3,1,88,91,24,182,62,62,0
Instituto,24,8.0,18,0,0,100,99,13,170,69,81,0
Lanús,25,7.0,18,0,0,86,82,16,97,72,72,0
Newell's Old Boys,26,8.0,21,1,1,123,102,18,171,65,104,0
Platense,23,8.0,16,0,0,88,82,15,151,85,95,1
Racing Club,25,8.0,31,1,1,113,78,11,150,76,54,0
River Plate,25,8.0,22,2,1,102,86,18,129,78,92,0
Rosario Central,21,8.0,19,0,0,84,129,15,178,99,99,1
San Lorenzo,24,8.0,21,0,0,103,107,13,135,77,97,0
Sarmiento–J,25,8.0,34,1,0,125,96,9,127,77,72,0
Talleres–C,23,8.0,14,0,0,96,81,11,162,68,100,1
Tigre,25,8.0,14,0,0,86,105,6,142,81,95,0
Unión,22,8.0,16,1,0,103,82,13,140,72,85,0
Vélez Sarsfield,23,8.0,17,0,0,95,95,12,149,71,97,1
