Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90
vs Aldosivi,24,27.0,8,720,90,100,8.0,88,80,54,34,21,60,2.0,9,3,6,0.75
vs Arg Juniors,24,28.2,7,630,90,100,7.0,77,81,44,32,24,52,1.0,3,4,-1,-0.14
vs Atlé Tucumán,22,28.3,9,810,90,100,9.0,99,81,55,43,21,65,2.0,14,10,4,0.44
vs Banfield,25,28.3,9,810,90,100,9.0,99,77,57,41,22,66,1.78,11,10,1,0.11
vs Barracas Central,25,27.6,9,810,90,100,9.0,99,82,57,42,23,66,1.33,8,8,0,0.0
vs Belgrano,24,27.8,9,810,90,100,9.0,99,80,55,44,23,64,0.67,7,11,-4,-0.44
vs Boca Juniors,24,27.6,9,810,90,100,9.0,99,83,57,43,22,65,1.11,6,10,-4,-0.44
vs Cen. Córdoba–SdE,24,27.5,9,810,90,100,9.0,99,80,57,42,19,64,1.67,7,4,3,0.33
vs Defensa y Justicia,23,28.1,9,810,90,100,9.0,99,80,54,44,23,63,0.78,6,8,-2,-0.22
vs Deportivo Riestra,24,28.4,9,810,90,100,9.0,99,81,59,40,22,66,1.67,5,2,3,0.33
vs Estudiantes–LP,25,28.2,9,810,90,100,9.0,99,80,57,42,22,65,1.0,4,7,-3,-0.33
vs Estudiantes–RC,27,28.0,9,810,90,100,9.0,99,78,54,44,22,62,2.44,13,3,10,1.11
vs Gimnasia–LP,25,27.6,9,810,90,100,9.0,99,80,59,39,27,69,1.22,11,11,0,0.0
vs Gimnasia–M,26,27.7,9,810,90,100,9.0,99,77,54,44,22,62,1.67,10,5,5,0.56
vs Huracán,24,28.0,9,810,90,100,9.0,99,81,57,41,23,65,1.33,9,9,0,0.0
vs Ind. Rivadavia,22,28.7,9,810,90,100,9.0,99,83,61,37,22,71,0.89,10,13,-3,-0.33
vs Independiente,23,27.4,9,810,90,100,9.0,99,82,57,42,23,65,0.89,11,15,-4,-0.44
vs Instituto,25,27.6,9,810,90,100,9.0,99,80,56,43,23,64,1.89,12,9,3,0.33
vs Lanús,25,27.5,8,720,90,100,8.0,88,82,54,33,17,59,1.13,12,10,2,0.25
vs Newell's Old Boys,27,27.5,9,810,90,100,9.0,99,78,60,39,18,67,2.33,17,6,11,1.22
vs Platense,24,28.3,9,810,90,100,9.0,99,81,55,44,20,63,0.89,4,6,-2,-0.22
vs Racing Club,25,27.6,9,810,90,100,9.0,99,79,56,43,19,65,1.33,9,11,-2,-0.22
vs River Plate,25,27.8,9,810,90,100,9.0,99,80,59,39,20,68,1.22,9,10,-1,-0.11
vs Rosario Central,23,27.9,9,810,90,100,9.0,99,83,55,44,23,64,1.0,6,10,-4,-0.44
vs San Lorenzo,25,27.7,9,810,90,100,9.0,99,80,61,39,19,68,1.11,6,8,-2,-0.22
vs Sarmiento–J,25,28.0,9,810,90,100,9.0,99,78,55,41,23,66,1.78,9,6,3,0.33
vs Talleres–C,26,27.6,9,810,90,100,9.0,99,81,56,42,21,66,1.22,9,10,-1,-0.11
vs Tigre,25,28.5,9,810,90,100,9.0,99,83,54,44,22,63,0.78,8,15,-7,-0.78
vs Unión,23,28.4,9,810,90,100,9.0,99,82,53,45,24,63,1.0,9,15,-6,-0.67
vs Vélez Sarsfield,24,28.1,9,810,90,100,9.0,99,83,63,38,24,70,0.44,5,10,-5,-0.56
