Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Aldosivi,24,8.0,3,88,15,17.0,11.0,1.87,0.02,0.13,1,1
Arg Juniors,24,7.0,4,111,40,36.0,15.86,5.71,0.04,0.1,0,1
Atlé Tucumán,22,9.0,10,118,36,30.5,13.11,4.0,0.05,0.17,4,5
Banfield,25,9.0,10,109,33,30.3,12.11,3.67,0.09,0.3,0,0
Barracas Central,25,9.0,8,85,33,38.8,9.44,3.67,0.08,0.21,1,1
Belgrano,24,9.0,10,104,33,31.7,11.56,3.67,0.1,0.3,0,1
Boca Juniors,24,9.0,10,100,30,30.0,11.11,3.33,0.09,0.3,1,1
Cen. Córdoba–SdE,24,9.0,4,81,23,28.4,9.0,2.56,0.04,0.13,1,1
Defensa y Justicia,23,9.0,8,82,32,39.0,9.11,3.56,0.09,0.22,1,2
Deportivo Riestra,24,9.0,2,91,30,33.0,10.11,3.33,0.02,0.07,0,0
Estudiantes–LP,25,9.0,7,124,39,31.5,13.78,4.33,0.06,0.18,0,0
Estudiantes–RC,27,9.0,3,102,22,21.6,11.33,2.44,0.03,0.14,0,0
Gimnasia–LP,25,9.0,11,86,34,39.5,9.56,3.78,0.12,0.29,1,1
Gimnasia–M,26,9.0,5,92,33,35.9,10.22,3.67,0.05,0.15,0,0
Huracán,24,9.0,9,96,30,31.3,10.67,3.33,0.07,0.23,2,2
Ind. Rivadavia,22,9.0,12,127,48,37.8,14.11,5.33,0.09,0.25,0,0
Independiente,23,9.0,14,126,39,31.0,14.0,4.33,0.1,0.33,1,1
Instituto,25,9.0,9,111,37,33.3,12.33,4.11,0.05,0.16,3,4
Lanús,25,8.0,10,79,32,40.5,9.87,4.0,0.13,0.31,0,0
Newell's Old Boys,27,9.0,6,96,28,29.2,10.67,3.11,0.05,0.18,1,1
Platense,24,9.0,5,95,32,33.7,10.56,3.56,0.04,0.13,1,1
Racing Club,25,9.0,11,111,36,32.4,12.33,4.0,0.09,0.28,1,1
River Plate,25,9.0,10,139,48,34.5,15.44,5.33,0.06,0.19,1,2
Rosario Central,23,9.0,10,106,42,39.6,11.78,4.67,0.08,0.21,1,1
San Lorenzo,25,9.0,8,81,25,30.9,9.0,2.78,0.09,0.28,1,1
Sarmiento–J,25,9.0,6,101,37,36.6,11.22,4.11,0.04,0.11,2,2
Talleres–C,26,9.0,9,112,42,37.5,12.44,4.67,0.08,0.21,0,0
Tigre,25,9.0,15,122,45,36.9,13.56,5.0,0.12,0.33,0,0
Unión,23,9.0,14,142,46,32.4,15.78,5.11,0.08,0.26,2,2
Vélez Sarsfield,24,9.0,10,94,30,31.9,10.44,3.33,0.1,0.3,1,1
