Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,MP_1,W_1,D_1,L_1,GF_1,GA_1,GD_1,Pts_1,Pts/MP_1
1,Vélez Sarsfield,4,3,1,0,5,2,3,10,2.5,5,2,3,0,5,3,2,9,1.8
2,Belgrano,3,2,1,0,5,2,3,7,2.33,6,3,2,1,6,5,1,11,1.83
3,Ind. Rivadavia,6,3,1,2,9,8,1,10,1.67,3,2,1,0,4,2,2,7,2.33
4,Tigre,5,3,2,0,9,4,5,11,2.2,4,1,2,1,6,4,2,5,1.25
5,Unión,4,2,2,0,5,0,5,8,2.0,5,2,1,2,10,9,1,7,1.4
6,Rosario Central,4,1,1,2,3,3,0,4,1.0,5,3,2,0,7,3,4,11,2.2
7,Estudiantes–LP,5,3,0,2,4,3,1,9,1.8,4,1,3,0,3,1,2,6,1.5
8,Independiente,5,2,3,0,10,6,4,9,1.8,4,1,2,1,5,5,0,5,1.25
9,Platense,4,2,1,1,3,2,1,7,1.75,5,1,4,0,3,2,1,7,1.4
10,River Plate,3,2,0,1,6,5,1,6,2.0,6,2,2,2,4,4,0,8,1.33
11,Talleres–C,5,3,1,1,7,4,3,10,2.0,4,1,1,2,3,5,-2,4,1.0
12,Gimnasia–LP,4,2,1,1,6,4,2,7,1.75,5,2,1,2,5,7,-2,7,1.4
13,Boca Juniors,6,2,4,0,5,2,3,10,1.67,3,1,0,2,5,4,1,3,1.0
14,San Lorenzo,4,2,1,1,6,4,2,7,1.75,5,1,3,1,2,2,0,6,1.2
15,Defensa y Justicia,5,0,5,0,4,4,0,5,1.0,4,2,2,0,4,2,2,8,2.0
16,Racing Club,3,1,1,1,4,4,0,4,1.33,6,2,2,2,7,5,2,8,1.33
17,Huracán,5,3,0,2,7,5,2,9,1.8,4,0,3,1,2,4,-2,3,0.75
18,Barracas Central,4,2,1,1,5,3,2,7,1.75,5,1,2,2,3,5,-2,5,1.0
19,Lanús,3,1,1,1,3,5,-2,4,1.33,5,2,2,1,7,7,0,8,1.6
20,Arg Juniors,5,2,3,0,3,1,2,9,1.8,2,0,1,1,1,2,-1,1,0.5
21,Banfield,6,3,1,2,9,6,3,10,1.67,3,0,0,3,1,5,-4,0,0.0
22,Sarmiento–J,5,3,1,1,5,4,1,10,2.0,4,0,0,4,1,5,-4,0,0.0
23,Cen. Córdoba–SdE,4,2,1,1,3,1,2,7,1.75,5,0,2,3,1,6,-5,2,0.4
24,Gimnasia–M,4,1,1,2,2,3,-1,4,1.0,5,1,2,2,3,7,-4,5,1.0
25,Instituto,5,2,1,2,7,6,1,7,1.4,4,0,1,3,2,6,-4,1,0.25
26,Deportivo Riestra,5,0,4,1,1,2,-1,4,0.8,4,0,2,2,1,3,-2,2,0.5
27,Atlé Tucumán,5,1,3,1,6,5,1,6,1.2,4,0,0,4,4,9,-5,0,0.0
28,Aldosivi,3,0,3,0,1,1,0,3,1.0,5,0,1,4,2,8,-6,1,0.2
29,Estudiantes–RC,4,1,1,2,2,2,0,4,1.0,5,0,0,5,1,11,-10,0,0.0
30,Newell's Old Boys,5,0,2,3,4,9,-5,2,0.4,4,0,1,3,2,8,-6,1,0.25
