Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%_1
vs Aldosivi,1,7,7,630,7.0,2,0.29,13,12,92.3,4,3,0,5,71.4,1,1,0,0,0.0
vs Arg Juniors,1,6,6,540,6.0,4,0.67,38,34,89.5,1,3,2,2,33.3,1,0,0,1,
vs Atlé Tucumán,1,8,8,720,8.0,9,1.13,27,22,81.5,5,2,1,2,25.0,4,4,0,0,0.0
vs Banfield,1,8,8,720,8.0,9,1.13,28,18,67.9,4,1,3,3,37.5,0,0,0,0,
vs Barracas Central,1,8,8,720,8.0,6,0.75,29,24,82.8,3,3,2,4,50.0,1,1,0,0,0.0
vs Belgrano,1,8,8,720,8.0,10,1.25,31,22,67.7,1,3,4,1,12.5,1,0,1,0,100.0
vs Boca Juniors,1,8,8,720,8.0,9,1.13,26,18,69.2,2,3,3,2,25.0,1,1,0,0,0.0
vs Cen. Córdoba–SdE,1,8,8,720,8.0,3,0.37,18,15,83.3,4,2,2,6,75.0,0,0,0,0,
vs Defensa y Justicia,1,8,8,720,8.0,7,0.87,24,19,75.0,0,6,2,3,37.5,2,1,1,0,50.0
vs Deportivo Riestra,1,8,8,720,8.0,2,0.25,22,20,90.9,3,5,0,6,75.0,0,0,0,0,
vs Estudiantes–LP,2,8,8,720,8.0,7,0.87,35,28,80.0,1,3,4,3,37.5,0,0,0,0,
vs Estudiantes–RC,2,8,8,720,8.0,3,0.37,21,17,85.7,6,1,1,6,75.0,0,0,0,0,
vs Gimnasia–LP,1,8,8,720,8.0,9,1.13,27,19,70.4,3,2,3,3,37.5,1,1,0,0,0.0
vs Gimnasia–M,2,8,8,720,8.0,5,0.62,31,26,83.9,4,2,2,3,37.5,0,0,0,0,
vs Huracán,1,8,8,720,8.0,8,1.0,25,18,72.0,2,3,3,2,25.0,1,1,0,0,0.0
vs Ind. Rivadavia,1,8,8,720,8.0,12,1.5,38,26,68.4,1,2,5,1,12.5,0,0,0,0,
vs Independiente,1,8,8,720,8.0,11,1.37,33,22,66.7,1,4,3,0,0.0,0,0,0,0,
vs Instituto,1,8,8,720,8.0,9,1.13,28,23,78.6,4,2,2,2,25.0,4,3,1,0,25.0
vs Lanús,2,7,7,630,7.0,9,1.29,29,20,69.0,2,3,2,2,28.6,0,0,0,0,
vs Newell's Old Boys,2,8,8,720,8.0,5,0.62,24,20,83.3,6,2,0,4,50.0,1,1,0,0,0.0
vs Platense,1,8,8,720,8.0,5,0.62,25,20,84.0,1,4,3,5,62.5,1,1,0,0,0.0
vs Racing Club,1,8,8,720,8.0,11,1.37,31,21,67.7,3,2,3,1,12.5,1,1,0,0,0.0
vs River Plate,2,8,8,720,8.0,8,1.0,40,32,80.0,3,2,3,3,37.5,0,0,0,0,
vs Rosario Central,1,8,8,720,8.0,10,1.25,36,27,75.0,2,2,4,2,25.0,1,1,0,0,0.0
vs San Lorenzo,1,8,8,720,8.0,7,0.87,22,16,72.7,2,3,3,3,37.5,1,1,0,0,0.0
vs Sarmiento–J,1,8,8,720,8.0,6,0.75,32,28,87.5,5,0,3,3,37.5,2,2,0,0,0.0
vs Talleres–C,1,8,8,720,8.0,8,1.0,39,31,79.5,3,2,3,2,25.0,0,0,0,0,
vs Tigre,2,8,8,720,8.0,14,1.75,41,27,65.9,1,3,4,1,12.5,0,0,0,0,
vs Unión,1,8,8,720,8.0,11,1.37,38,28,73.7,2,2,4,3,37.5,1,1,0,0,0.0
vs Vélez Sarsfield,1,8,8,720,8.0,9,1.13,27,18,66.7,0,3,5,1,12.5,0,0,0,0,
