Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
vs Aldosivi,24,8.0,9,108,34,31.5,13.5,4.25,0.07,0.24,1,2
vs Arg Juniors,24,7.0,3,68,19,27.9,9.71,2.71,0.04,0.16,0,0
vs Atlé Tucumán,22,9.0,14,83,26,31.3,9.22,2.89,0.14,0.46,2,2
vs Banfield,25,9.0,11,138,47,34.1,15.33,5.22,0.07,0.19,2,2
vs Barracas Central,25,9.0,8,135,54,40.0,15.0,6.0,0.06,0.15,0,0
vs Belgrano,24,9.0,7,121,38,31.4,13.44,4.22,0.03,0.11,3,3
vs Boca Juniors,24,9.0,6,79,24,30.4,8.78,2.67,0.08,0.25,0,0
vs Cen. Córdoba–SdE,24,9.0,7,134,33,24.6,14.89,3.67,0.04,0.18,1,1
vs Defensa y Justicia,23,9.0,6,105,27,25.7,11.67,3.0,0.05,0.19,1,1
vs Deportivo Riestra,24,9.0,5,94,31,33.0,10.44,3.44,0.03,0.1,2,2
vs Estudiantes–LP,25,9.0,4,97,24,24.7,10.78,2.67,0.04,0.17,0,1
vs Estudiantes–RC,27,9.0,12,109,33,30.3,12.11,3.67,0.09,0.3,2,3
vs Gimnasia–LP,25,9.0,11,143,40,28.0,15.89,4.44,0.07,0.25,1,1
vs Gimnasia–M,26,9.0,9,114,40,35.1,12.67,4.44,0.07,0.2,1,2
vs Huracán,24,9.0,9,88,32,36.4,9.78,3.56,0.08,0.22,2,4
vs Ind. Rivadavia,22,9.0,10,112,31,27.7,12.44,3.44,0.08,0.29,1,1
vs Independiente,23,9.0,11,86,29,33.7,9.56,3.22,0.12,0.34,1,1
vs Instituto,25,9.0,12,79,31,39.2,8.78,3.44,0.15,0.39,0,0
vs Lanús,25,8.0,12,112,34,30.4,14.0,4.25,0.09,0.29,2,2
vs Newell's Old Boys,27,9.0,17,115,51,44.3,12.78,5.67,0.14,0.31,1,1
vs Platense,24,9.0,3,89,30,33.7,9.89,3.33,0.03,0.1,0,0
vs Racing Club,25,9.0,9,83,32,38.6,9.22,3.56,0.11,0.28,0,0
vs River Plate,25,9.0,9,87,32,36.8,9.67,3.56,0.09,0.25,1,1
vs Rosario Central,23,9.0,5,109,38,34.9,12.11,4.22,0.05,0.13,0,0
vs San Lorenzo,25,9.0,6,114,40,35.1,12.67,4.44,0.05,0.15,0,0
vs Sarmiento–J,25,9.0,9,112,49,43.8,12.44,5.44,0.08,0.18,0,0
vs Talleres–C,26,9.0,8,93,35,37.6,10.33,3.89,0.08,0.2,1,1
vs Tigre,25,9.0,8,99,24,24.2,11.0,2.67,0.07,0.29,1,1
vs Unión,23,9.0,9,92,35,38.0,10.22,3.89,0.09,0.23,1,1
vs Vélez Sarsfield,24,9.0,4,113,37,32.7,12.56,4.11,0.04,0.11,0,0
