Squad,1
Shots Per Match,23.5
Shots / Match (Home),13.59
Shots / Match (Away),9.91
Possession (Home),
Possession (Away),
Fouls Per Match,23.25
Fouls / Match (Home),11.4
Fouls / Match (Away),11.85
Offsides Per Match,3.51
Players Participated,879.0
