Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_1,Ast_1,G+A_1,G-PK_1,G+A-PK
Aldosivi,23,29.2,52.4,7,77,630,7.0,2,1,3,1,1,1,19,0,0.29,0.14,0.43,0.14,0.29
Arg Juniors,24,28.0,62.7,6,66,540,6.0,4,3,7,4,0,1,7,0,0.67,0.5,1.17,0.67,1.17
Atlé Tucumán,22,28.4,49.9,8,88,720,8.0,9,4,13,5,4,4,23,1,1.13,0.5,1.62,0.62,1.13
Banfield,25,26.8,42.0,8,88,720,8.0,9,9,18,9,0,0,19,2,1.13,1.13,2.25,1.13,2.25
Barracas Central,24,28.6,40.1,8,88,720,8.0,6,1,7,5,1,1,20,0,0.75,0.12,0.87,0.62,0.75
Belgrano,23,30.6,50.9,8,88,720,8.0,9,8,17,9,0,1,17,0,1.13,1.0,2.12,1.13,2.12
Boca Juniors,24,27.6,61.1,8,88,720,8.0,9,6,15,8,1,1,15,0,1.13,0.75,1.87,1.0,1.75
Cen. Córdoba–SdE,24,27.5,44.9,8,88,720,8.0,3,3,6,3,0,0,26,0,0.37,0.37,0.75,0.37,0.75
Defensa y Justicia,23,26.8,49.3,8,88,720,8.0,7,6,13,6,1,2,12,1,0.87,0.75,1.62,0.75,1.5
Deportivo Riestra,22,30.0,38.9,8,88,720,8.0,2,0,2,2,0,0,35,0,0.25,0.0,0.25,0.25,0.25
Estudiantes–LP,25,28.0,53.0,8,88,720,8.0,7,6,13,7,0,0,21,1,0.87,0.75,1.62,0.87,1.62
Estudiantes–RC,27,28.3,43.8,8,88,720,8.0,3,2,5,3,0,0,21,0,0.37,0.25,0.62,0.37,0.62
Gimnasia–LP,24,27.5,43.1,8,88,720,8.0,9,5,14,8,1,1,22,2,1.13,0.62,1.75,1.0,1.62
Gimnasia–M,26,27.5,43.6,8,88,720,8.0,5,5,10,5,0,0,13,1,0.62,0.62,1.25,0.62,1.25
Huracán,23,29.8,55.6,8,88,720,8.0,8,6,14,7,1,1,26,3,1.0,0.75,1.75,0.87,1.62
Ind. Rivadavia,22,26.8,42.1,8,88,720,8.0,11,6,17,11,0,0,14,0,1.37,0.75,2.12,1.37,2.12
Independiente,22,29.6,53.9,8,88,720,8.0,10,8,18,10,0,0,21,3,1.25,1.0,2.25,1.25,2.25
Instituto,24,28.3,52.9,8,88,720,8.0,9,5,14,6,3,4,18,0,1.13,0.62,1.75,0.75,1.37
Lanús,25,29.7,50.1,7,77,630,7.0,9,8,17,9,0,0,18,0,1.29,1.14,2.43,1.29,2.43
Newell's Old Boys,26,27.1,43.9,8,88,720,8.0,5,2,7,4,1,1,21,1,0.62,0.25,0.87,0.5,0.75
Platense,23,26.5,49.5,8,88,720,8.0,4,2,6,3,1,1,16,0,0.5,0.25,0.75,0.37,0.62
Racing Club,25,27.7,59.5,8,88,720,8.0,11,8,19,10,1,1,31,1,1.37,1.0,2.37,1.25,2.25
River Plate,25,26.5,65.9,8,88,720,8.0,8,5,13,8,0,0,22,2,1.0,0.62,1.62,1.0,1.62
Rosario Central,21,27.1,53.4,8,88,720,8.0,10,7,17,9,1,1,19,0,1.25,0.87,2.12,1.13,2.0
San Lorenzo,24,25.7,50.1,8,88,720,8.0,7,5,12,6,1,1,21,0,0.87,0.62,1.5,0.75,1.37
Sarmiento–J,25,28.8,52.1,8,88,720,8.0,6,4,10,4,2,2,34,1,0.75,0.5,1.25,0.5,1.0
Talleres–C,23,27.0,56.0,8,88,720,8.0,7,7,14,7,0,0,14,0,0.87,0.87,1.75,0.87,1.75
Tigre,25,27.1,44.8,8,88,720,8.0,14,9,23,14,0,0,14,0,1.75,1.13,2.87,1.75,2.87
Unión,22,26.8,47.0,8,88,720,8.0,10,8,18,9,1,1,16,1,1.25,1.0,2.25,1.13,2.12
Vélez Sarsfield,23,28.5,52.6,8,88,720,8.0,9,6,15,9,0,0,17,0,1.13,0.75,1.87,1.13,1.87
