Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP
1,Vélez Sarsfield,9,5,4,0,10,5,5,19,2.11
2,Unión,9,4,3,2,15,9,6,15,1.67
3,Estudiantes–LP,9,4,3,2,7,4,3,15,1.67
4,Independiente,9,3,5,1,15,11,4,14,1.56
5,Platense,9,3,5,1,6,4,2,14,1.56
6,Talleres–C,9,4,2,3,10,9,1,14,1.56
7,Boca Juniors,9,3,4,2,10,6,4,13,1.44
8,San Lorenzo,9,3,4,2,8,6,2,13,1.44
9,Defensa y Justicia,9,2,7,0,8,6,2,13,1.44
10,Lanús,8,3,3,2,10,12,-2,12,1.5
11,Cen. Córdoba–SdE,9,2,3,4,4,7,-3,9,1.0
12,Gimnasia–M,9,2,3,4,5,10,-5,9,1.0
13,Instituto,9,2,2,5,9,12,-3,8,0.89
14,Deportivo Riestra,9,0,6,3,2,5,-3,6,0.67
15,Newell's Old Boys,9,0,3,6,6,17,-11,3,0.33
