Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP
1,Belgrano,9,5,3,1,11,7,4,18,2.0
2,Ind. Rivadavia,9,5,2,2,13,10,3,17,1.89
3,Tigre,9,4,4,1,15,8,7,16,1.78
4,Rosario Central,9,4,3,2,10,6,4,15,1.67
5,River Plate,9,4,2,3,10,9,1,14,1.56
6,Gimnasia–LP,9,4,2,3,11,11,0,14,1.56
7,Racing Club,9,3,3,3,11,9,2,12,1.33
8,Huracán,9,3,3,3,9,9,0,12,1.33
9,Barracas Central,9,3,3,3,8,8,0,12,1.33
10,Arg Juniors,7,2,4,1,4,3,1,10,1.43
11,Banfield,9,3,1,5,10,11,-1,10,1.11
12,Sarmiento–J,9,3,1,5,6,9,-3,10,1.11
13,Atlé Tucumán,9,1,3,5,10,14,-4,6,0.67
14,Aldosivi,8,0,4,4,3,9,-6,4,0.5
15,Estudiantes–RC,9,1,1,7,3,13,-10,4,0.44
