Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90
Aldosivi,23,29.2,7,630,90,100,7.0,77,79,42,35,24,49,0.43,2,8,-6,-0.86
Arg Juniors,24,28.0,6,540,90,100,6.0,66,81,38,28,22,43,1.5,4,3,1,0.17
Atlé Tucumán,22,28.4,8,720,90,100,8.0,88,81,50,37,21,58,0.63,9,13,-4,-0.5
Banfield,25,26.8,8,720,90,100,8.0,88,78,48,38,27,58,1.25,9,9,0,0.0
Barracas Central,24,28.6,8,720,90,100,8.0,88,81,53,35,23,61,1.13,6,7,-1,-0.12
Belgrano,23,30.6,8,720,90,100,8.0,88,81,50,38,22,57,1.88,10,7,3,0.37
Boca Juniors,24,27.6,8,720,90,100,8.0,88,83,58,30,22,66,1.5,9,5,4,0.5
Cen. Córdoba–SdE,24,27.5,8,720,90,100,8.0,88,79,48,40,23,56,1.0,3,6,-3,-0.37
Defensa y Justicia,23,26.8,8,720,90,100,8.0,88,81,51,38,20,51,1.5,7,5,2,0.25
Deportivo Riestra,22,30.0,8,720,90,100,8.0,88,81,51,37,21,58,0.63,2,5,-3,-0.37
Estudiantes–LP,25,28.0,8,720,90,100,8.0,88,79,49,38,25,58,1.88,7,3,4,0.5
Estudiantes–RC,27,28.3,8,720,90,100,8.0,88,77,50,39,29,57,0.5,3,12,-9,-1.13
Gimnasia–LP,24,27.5,8,720,90,100,8.0,88,80,48,40,19,56,1.38,9,10,-1,-0.12
Gimnasia–M,26,27.5,8,720,90,100,8.0,88,77,47,40,27,56,1.0,5,10,-5,-0.62
Huracán,23,29.8,8,720,90,100,8.0,88,81,50,36,18,59,1.5,8,7,1,0.12
Ind. Rivadavia,22,26.8,8,720,90,100,8.0,88,84,51,37,15,59,2.13,12,8,4,0.5
Independiente,22,29.6,8,720,90,100,8.0,88,82,52,34,19,62,1.63,11,7,4,0.5
Instituto,24,28.3,8,720,90,100,8.0,88,80,51,38,23,58,1.0,9,10,-1,-0.12
Lanús,25,29.7,7,630,90,100,7.0,77,82,42,35,18,49,1.29,9,12,-3,-0.43
Newell's Old Boys,26,27.1,8,720,90,100,8.0,88,77,48,39,29,56,0.25,5,16,-11,-1.37
Platense,23,26.5,8,720,90,100,8.0,88,81,48,40,20,56,1.63,5,3,2,0.25
Racing Club,25,27.7,8,720,90,100,8.0,88,80,49,38,22,58,1.38,11,9,2,0.25
River Plate,25,26.5,8,720,90,100,8.0,88,80,51,36,23,59,1.38,8,8,0,0.0
Rosario Central,21,27.1,8,720,90,100,8.0,88,83,60,28,21,68,1.75,10,6,4,0.5
San Lorenzo,24,25.7,8,720,90,100,8.0,88,80,50,38,22,57,1.5,7,5,2,0.25
Sarmiento–J,25,28.8,8,720,90,100,8.0,88,78,47,40,26,55,1.13,6,9,-3,-0.37
Talleres–C,23,27.0,8,720,90,100,8.0,88,81,51,37,20,52,1.38,8,9,-1,-0.12
Tigre,25,27.1,8,720,90,100,8.0,88,83,52,36,16,60,1.88,14,7,7,0.87
Unión,22,26.8,8,720,90,100,8.0,88,81,52,35,21,61,1.75,11,5,6,0.75
Vélez Sarsfield,23,28.5,8,720,90,100,8.0,88,83,54,34,18,61,2.25,9,4,5,0.62
