Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%_1
Aldosivi,1,7,7,630,7.0,8,1.14,28,21,75.0,0,3,4,2,28.6,1,1,0,0,0.0
Arg Juniors,1,6,6,540,6.0,3,0.5,15,12,80.0,2,3,1,4,66.7,0,0,0,0,
Atlé Tucumán,1,8,8,720,8.0,13,1.62,22,11,50.0,1,2,5,2,25.0,2,2,0,0,0.0
Banfield,1,8,8,720,8.0,9,1.13,39,32,82.1,3,1,4,2,25.0,2,2,0,0,0.0
Barracas Central,1,8,8,720,8.0,7,0.87,42,35,83.3,2,3,3,2,25.0,0,0,0,0,
Belgrano,1,8,8,720,8.0,7,0.87,32,28,87.5,4,3,1,3,37.5,3,3,0,0,0.0
Boca Juniors,1,8,8,720,8.0,5,0.62,22,17,77.3,3,3,2,5,62.5,0,0,0,0,
Cen. Córdoba–SdE,1,8,8,720,8.0,6,0.75,24,19,79.2,2,2,4,4,50.0,1,1,0,0,0.0
Defensa y Justicia,1,8,8,720,8.0,5,0.62,23,18,78.3,2,6,0,4,50.0,0,0,0,0,
Deportivo Riestra,1,8,8,720,8.0,5,0.62,27,24,88.9,0,5,3,3,37.5,2,2,0,0,0.0
Estudiantes–LP,2,8,8,720,8.0,3,0.37,20,18,85.0,4,3,1,5,62.5,1,0,1,0,100.0
Estudiantes–RC,2,8,8,720,8.0,12,1.5,31,21,67.7,1,1,6,2,25.0,3,2,0,1,0.0
Gimnasia–LP,1,8,8,720,8.0,10,1.25,33,24,72.7,3,2,3,2,25.0,1,1,0,0,0.0
Gimnasia–M,2,8,8,720,8.0,10,1.25,31,23,71.0,2,2,4,2,25.0,2,1,1,0,50.0
Huracán,1,8,8,720,8.0,7,0.87,22,17,72.7,3,3,2,3,37.5,2,1,1,0,50.0
Ind. Rivadavia,1,8,8,720,8.0,8,1.0,27,20,74.1,5,2,1,1,12.5,1,1,0,0,0.0
Independiente,1,8,8,720,8.0,7,0.87,25,17,72.0,3,4,1,3,37.5,0,0,0,0,
Instituto,1,8,8,720,8.0,10,1.25,28,18,64.3,2,2,4,1,12.5,0,0,0,0,
Lanús,2,7,7,630,7.0,12,1.71,31,21,67.7,2,3,2,0,0.0,2,2,0,0,0.0
Newell's Old Boys,2,8,8,720,8.0,16,2.0,40,25,62.5,0,2,6,0,0.0,1,1,0,0,0.0
Platense,1,8,8,720,8.0,3,0.37,30,27,90.0,3,4,1,5,62.5,0,0,0,0,
Racing Club,1,8,8,720,8.0,9,1.13,30,20,70.0,3,2,3,3,37.5,0,0,0,0,
River Plate,2,8,8,720,8.0,8,1.0,28,20,71.4,3,2,3,3,37.5,0,0,0,0,
Rosario Central,1,8,8,720,8.0,6,0.75,36,30,83.3,4,2,2,3,37.5,0,0,0,0,
San Lorenzo,1,8,8,720,8.0,5,0.62,35,29,85.7,3,3,2,5,62.5,0,0,0,0,
Sarmiento–J,1,8,8,720,8.0,9,1.13,44,35,79.5,3,0,5,2,25.0,0,0,0,0,
Talleres–C,1,8,8,720,8.0,9,1.13,30,22,73.3,3,2,3,2,25.0,1,1,0,0,0.0
Tigre,2,8,8,720,8.0,7,0.87,21,14,66.7,4,3,1,3,37.5,0,0,0,0,
Unión,1,8,8,720,8.0,5,0.62,28,23,82.1,4,2,2,4,50.0,0,0,0,0,
Vélez Sarsfield,1,8,8,720,8.0,4,0.5,34,30,88.2,5,3,0,4,50.0,0,0,0,0,
