Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP
1,Vélez Sarsfield,9,5,4,0,10,5,5,19,2.11
2,Belgrano,9,5,3,1,11,7,4,18,2.0
3,Ind. Rivadavia,9,5,2,2,13,10,3,17,1.89
4,Tigre,9,4,4,1,15,8,7,16,1.78
5,Unión,9,4,3,2,15,9,6,15,1.67
6,Rosario Central,9,4,3,2,10,6,4,15,1.67
7,Estudiantes–LP,9,4,3,2,7,4,3,15,1.67
8,Independiente,9,3,5,1,15,11,4,14,1.56
9,Platense,9,3,5,1,6,4,2,14,1.56
10,River Plate,9,4,2,3,10,9,1,14,1.56
11,Talleres–C,9,4,2,3,10,9,1,14,1.56
12,Gimnasia–LP,9,4,2,3,11,11,0,14,1.56
13,Boca Juniors,9,3,4,2,10,6,4,13,1.44
14,San Lorenzo,9,3,4,2,8,6,2,13,1.44
15,Defensa y Justicia,9,2,7,0,8,6,2,13,1.44
16,Racing Club,9,3,3,3,11,9,2,12,1.33
17,Huracán,9,3,3,3,9,9,0,12,1.33
18,Barracas Central,9,3,3,3,8,8,0,12,1.33
19,Lanús,8,3,3,2,10,12,-2,12,1.5
20,Arg Juniors,7,2,4,1,4,3,1,10,1.43
21,Banfield,9,3,1,5,10,11,-1,10,1.11
22,Sarmiento–J,9,3,1,5,6,9,-3,10,1.11
23,Cen. Córdoba–SdE,9,2,3,4,4,7,-3,9,1.0
24,Gimnasia–M,9,2,3,4,5,10,-5,9,1.0
25,Instituto,9,2,2,5,9,12,-3,8,0.89
26,Deportivo Riestra,9,0,6,3,2,5,-3,6,0.67
27,Atlé Tucumán,9,1,3,5,10,14,-4,6,0.67
28,Aldosivi,8,0,4,4,3,9,-6,4,0.5
29,Estudiantes–RC,9,1,1,7,3,13,-10,4,0.44
30,Newell's Old Boys,9,0,3,6,6,17,-11,3,0.33
