Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_1,Ast_1,G+A_1,G-PK_1,G+A-PK
Aldosivi,24,29.1,50.5,8,88,720,8.0,3,1,4,2,1,1,20,1,0.37,0.12,0.5,0.25,0.37
Arg Juniors,24,28.0,62.0,7,77,630,7.0,4,3,7,4,0,1,9,0,0.57,0.43,1.0,0.57,1.0
Atlé Tucumán,22,28.3,51.3,9,99,810,9.0,10,5,15,6,4,5,26,1,1.11,0.56,1.67,0.67,1.22
Banfield,25,26.7,43.3,9,99,810,9.0,10,10,20,10,0,0,24,2,1.11,1.11,2.22,1.11,2.22
Barracas Central,25,28.7,38.7,9,99,810,9.0,8,3,11,7,1,1,23,0,0.89,0.33,1.22,0.78,1.11
Belgrano,24,30.3,50.4,9,99,810,9.0,10,8,18,10,0,1,19,0,1.11,0.89,2.0,1.11,2.0
Boca Juniors,24,27.6,62.0,9,99,810,9.0,10,7,17,9,1,1,18,0,1.11,0.78,1.89,1.0,1.78
Cen. Córdoba–SdE,24,27.6,44.8,9,99,810,9.0,4,3,7,3,1,1,28,0,0.44,0.33,0.78,0.33,0.67
Defensa y Justicia,23,26.9,50.1,9,99,810,9.0,8,6,14,7,1,2,15,2,0.89,0.67,1.56,0.78,1.44
Deportivo Riestra,24,30.0,40.8,9,99,810,9.0,2,0,2,2,0,0,38,0,0.22,0.0,0.22,0.22,0.22
Estudiantes–LP,25,28.0,53.6,9,99,810,9.0,7,6,13,7,0,0,24,1,0.78,0.67,1.44,0.78,1.44
Estudiantes–RC,27,28.3,44.8,9,99,810,9.0,3,2,5,3,0,0,22,0,0.33,0.22,0.56,0.33,0.56
Gimnasia–LP,25,27.6,43.4,9,99,810,9.0,11,7,18,10,1,1,26,2,1.22,0.78,2.0,1.11,1.89
Gimnasia–M,26,27.6,43.7,9,99,810,9.0,5,5,10,5,0,0,16,1,0.56,0.56,1.11,0.56,1.11
Huracán,24,29.8,53.9,9,99,810,9.0,9,6,15,7,2,2,32,4,1.0,0.67,1.67,0.78,1.44
Ind. Rivadavia,22,26.8,45.6,9,99,810,9.0,12,7,19,12,0,0,20,0,1.33,0.78,2.11,1.33,2.11
Independiente,23,29.7,54.2,9,99,810,9.0,14,11,25,13,1,1,23,3,1.56,1.22,2.78,1.44,2.67
Instituto,25,28.3,53.6,9,99,810,9.0,9,5,14,6,3,4,22,0,1.0,0.56,1.56,0.67,1.22
Lanús,25,29.7,49.3,8,88,720,8.0,10,9,19,10,0,0,20,0,1.25,1.13,2.37,1.25,2.37
Newell's Old Boys,27,27.0,43.0,9,99,810,9.0,6,2,8,5,1,1,25,1,0.67,0.22,0.89,0.56,0.78
Platense,24,26.6,51.2,9,99,810,9.0,5,2,7,4,1,1,18,0,0.56,0.22,0.78,0.44,0.67
Racing Club,25,27.6,58.2,9,99,810,9.0,11,8,19,10,1,1,35,2,1.22,0.89,2.11,1.11,2.0
River Plate,25,26.4,65.2,9,99,810,9.0,10,6,16,9,1,2,25,3,1.11,0.67,1.78,1.0,1.67
Rosario Central,23,27.0,52.1,9,99,810,9.0,10,7,17,9,1,1,20,0,1.11,0.78,1.89,1.0,1.78
San Lorenzo,25,25.7,48.0,9,99,810,9.0,8,6,14,7,1,1,24,0,0.89,0.67,1.56,0.78,1.44
Sarmiento–J,25,28.8,52.1,9,99,810,9.0,6,4,10,4,2,2,36,1,0.67,0.44,1.11,0.44,0.89
Talleres–C,26,26.9,54.3,9,99,810,9.0,9,8,17,9,0,0,19,0,1.0,0.89,1.89,1.0,1.89
Tigre,25,27.1,44.3,9,99,810,9.0,15,10,25,15,0,0,17,0,1.67,1.11,2.78,1.67,2.78
Unión,23,26.8,46.6,9,99,810,9.0,14,10,24,12,2,2,16,1,1.56,1.11,2.67,1.33,2.44
Vélez Sarsfield,24,28.4,53.3,9,99,810,9.0,10,6,16,9,1,1,22,0,1.11,0.67,1.78,1.0,1.67
