Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%_1
vs Aldosivi,1,8,8,720,8.0,3,0.37,14,12,85.7,4,4,0,5,62.5,1,1,0,0,0.0
vs Arg Juniors,1,7,7,630,7.0,4,0.57,40,36,90.0,1,4,2,3,42.9,1,0,0,1,
vs Atlé Tucumán,1,9,9,810,9.0,10,1.11,31,26,80.6,5,3,1,2,22.2,5,4,1,0,20.0
vs Banfield,1,9,9,810,9.0,10,1.11,33,22,69.7,5,1,3,3,33.3,0,0,0,0,
vs Barracas Central,2,9,9,810,9.0,8,0.89,32,25,78.1,3,3,3,4,44.4,1,1,0,0,0.0
vs Belgrano,1,9,9,810,9.0,11,1.22,32,22,65.6,1,3,5,1,11.1,1,0,1,0,100.0
vs Boca Juniors,1,9,9,810,9.0,10,1.11,30,21,70.0,2,4,3,2,22.2,1,1,0,0,0.0
vs Cen. Córdoba–SdE,1,9,9,810,9.0,4,0.44,22,19,86.4,4,3,2,6,66.7,1,1,0,0,0.0
vs Defensa y Justicia,1,9,9,810,9.0,8,0.89,30,24,76.7,0,7,2,3,33.3,2,1,1,0,50.0
vs Deportivo Riestra,1,9,9,810,9.0,2,0.22,29,27,93.1,3,6,0,7,77.8,0,0,0,0,
vs Estudiantes–LP,2,9,9,810,9.0,7,0.78,38,31,81.6,2,3,4,4,44.4,0,0,0,0,
vs Estudiantes–RC,2,9,9,810,9.0,3,0.33,23,19,87.0,7,1,1,7,77.8,0,0,0,0,
vs Gimnasia–LP,2,9,9,810,9.0,11,1.22,33,23,69.7,3,2,4,3,33.3,1,1,0,0,0.0
vs Gimnasia–M,2,9,9,810,9.0,5,0.56,33,28,84.8,4,3,2,4,44.4,0,0,0,0,
vs Huracán,1,9,9,810,9.0,9,1.0,28,21,75.0,3,3,3,2,22.2,2,2,0,0,0.0
vs Ind. Rivadavia,1,9,9,810,9.0,13,1.44,49,36,73.5,2,2,5,1,11.1,0,0,0,0,
vs Independiente,1,9,9,810,9.0,15,1.67,38,24,63.2,1,5,3,0,0.0,1,1,0,0,0.0
vs Instituto,1,9,9,810,9.0,9,1.0,33,28,81.8,5,2,2,3,33.3,4,3,1,0,25.0
vs Lanús,2,8,8,720,8.0,10,1.25,31,21,67.7,2,3,3,2,25.0,0,0,0,0,
vs Newell's Old Boys,2,9,9,810,9.0,6,0.67,27,22,81.5,6,3,0,4,44.4,1,1,0,0,0.0
vs Platense,1,9,9,810,9.0,6,0.67,33,27,84.8,1,5,3,5,55.6,1,1,0,0,0.0
vs Racing Club,1,9,9,810,9.0,11,1.22,36,26,72.2,3,3,3,2,22.2,1,1,0,0,0.0
vs River Plate,2,9,9,810,9.0,10,1.11,44,36,79.5,3,2,4,3,33.3,2,1,1,0,50.0
vs Rosario Central,2,9,9,810,9.0,10,1.11,40,31,77.5,2,3,4,3,33.3,1,1,0,0,0.0
vs San Lorenzo,1,9,9,810,9.0,8,0.89,24,17,70.8,2,4,3,3,33.3,1,1,0,0,0.0
vs Sarmiento–J,1,9,9,810,9.0,6,0.67,35,31,88.6,5,1,3,4,44.4,2,2,0,0,0.0
vs Talleres–C,1,9,9,810,9.0,10,1.11,42,32,76.2,3,2,4,2,22.2,0,0,0,0,
vs Tigre,2,9,9,810,9.0,15,1.67,45,30,66.7,1,4,4,1,11.1,0,0,0,0,
vs Unión,1,9,9,810,9.0,15,1.67,43,30,69.8,2,3,4,3,33.3,2,2,0,0,0.0
vs Vélez Sarsfield,1,9,9,810,9.0,10,1.11,30,21,70.0,0,4,5,1,11.1,1,1,0,0,0.0
