Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP
1,Boca Juniors,68,32,21,15,92,52,40,117,1.72
2,Rosario Central,68,30,23,15,77,52,25,113,1.66
3,Racing Club,68,33,12,23,95,68,27,111,1.63
4,River Plate,68,29,23,16,89,54,35,110,1.62
5,Vélez Sarsfield,68,30,20,18,74,55,19,110,1.62
6,Huracán,68,27,24,17,66,54,12,105,1.54
7,Independiente,68,24,29,15,77,53,24,101,1.49
8,Tigre,68,25,24,19,74,63,11,99,1.46
9,Lanús,67,24,26,17,71,67,4,98,1.46
10,Ind. Rivadavia,68,25,23,20,70,69,1,98,1.44
11,Arg Juniors,66,26,19,21,68,53,15,97,1.47
12,Talleres–C,68,24,24,20,64,63,1,96,1.41
13,Unión,68,24,22,22,73,65,8,94,1.38
14,Deportivo Riestra,68,21,30,17,60,51,9,93,1.37
15,Estudiantes–LP,68,23,24,21,78,75,3,93,1.37
16,San Lorenzo,68,23,24,21,55,53,2,93,1.37
17,Belgrano,68,20,30,18,70,73,-3,90,1.32
18,Platense,68,21,25,22,51,58,-7,88,1.29
19,Gimnasia–LP,68,23,15,30,55,68,-13,84,1.24
20,Barracas Central,68,19,27,22,62,76,-14,84,1.24
21,Defensa y Justicia,68,19,26,23,67,80,-13,83,1.22
22,Cen. Córdoba–SdE,68,20,22,26,71,76,-5,82,1.21
23,Atlé Tucumán,68,22,14,32,72,84,-12,80,1.18
24,Instituto,68,20,18,30,66,80,-14,78,1.15
25,Sarmiento–J,68,15,26,27,48,73,-25,71,1.04
26,Banfield,68,17,18,33,61,87,-26,69,1.01
27,Newell's Old Boys,68,15,19,34,53,90,-37,64,0.94
28,Aldosivi,40,9,10,21,34,55,-21,37,0.93
29,Gimnasia–M,9,2,3,4,5,10,-5,9,1.0
30,Estudiantes–RC,9,1,1,7,3,13,-10,4,0.44
