Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
Aldosivi,24,8.0,20,1,0,122,70,7,187,79,96,0
Arg Juniors,24,7.0,9,0,0,70,95,25,167,79,69,0
Atlé Tucumán,22,9.0,26,1,1,111,116,20,190,86,98,0
Banfield,25,9.0,24,2,1,103,113,18,187,80,103,0
Barracas Central,25,9.0,23,0,0,114,101,9,83,96,86,0
Belgrano,24,9.0,19,0,0,93,78,10,159,78,113,0
Boca Juniors,24,9.0,18,0,0,87,132,19,203,85,106,0
Cen. Córdoba–SdE,24,9.0,28,0,0,124,115,13,154,91,105,0
Defensa y Justicia,23,9.0,15,2,0,88,100,12,155,99,95,0
Deportivo Riestra,24,9.0,38,0,0,169,79,16,137,90,110,0
Estudiantes–LP,25,9.0,24,1,1,99,107,7,187,62,106,0
Estudiantes–RC,27,9.0,22,0,0,105,103,14,183,104,88,1
Gimnasia–LP,25,9.0,26,2,0,115,119,18,153,83,124,0
Gimnasia–M,26,9.0,16,1,0,107,106,11,163,104,101,1
Huracán,24,9.0,32,4,2,113,126,16,146,77,88,0
Ind. Rivadavia,22,9.0,20,0,0,104,88,27,178,80,85,0
Independiente,23,9.0,23,3,1,100,101,25,207,68,76,0
Instituto,25,9.0,22,0,0,118,109,17,203,79,96,0
Lanús,25,8.0,20,0,0,99,89,20,110,82,80,0
Newell's Old Boys,27,9.0,25,1,1,140,116,20,186,76,122,0
Platense,24,9.0,18,0,0,102,99,15,178,93,103,1
Racing Club,25,9.0,35,2,2,127,86,13,169,86,64,0
River Plate,25,9.0,25,3,1,112,96,18,141,90,102,0
Rosario Central,23,9.0,20,0,0,96,140,17,194,112,106,1
San Lorenzo,25,9.0,24,0,0,117,115,14,148,90,109,0
Sarmiento–J,25,9.0,36,1,0,133,107,12,145,88,84,0
Talleres–C,26,9.0,19,0,0,106,98,11,173,76,118,1
Tigre,25,9.0,17,0,0,102,117,6,167,94,108,0
Unión,23,9.0,16,1,0,113,93,17,150,79,99,0
Vélez Sarsfield,24,9.0,22,0,0,107,110,12,167,77,107,1
