iter	MultiClass
0	1.093182917
1	1.087785808
2	1.081422342
3	1.077279436
4	1.07291615
5	1.067354393
6	1.063233474
7	1.057640351
8	1.05292942
9	1.049385179
10	1.046511921
11	1.041945435
12	1.037549944
13	1.033484721
14	1.03098907
15	1.026363126
16	1.022384279
17	1.019161654
18	1.016587732
19	1.013824636
20	1.010283638
21	1.006481549
22	1.003356794
23	1.000656714
24	0.9981452503
25	0.9945767859
26	0.9924628971
27	0.9904259129
28	0.9872358073
29	0.9844010185
30	0.9804087446
31	0.9773214132
32	0.9752993984
33	0.9721580819
34	0.9695102943
35	0.9661554675
36	0.9636269503
37	0.9619199274
38	0.9596364561
39	0.9571640384
40	0.9552801964
41	0.9525417452
42	0.949782912
43	0.946030757
44	0.942671561
45	0.9397808911
46	0.9370059549
47	0.9352259397
48	0.9327287077
49	0.9314209436
50	0.9290735666
51	0.9269217464
52	0.9249352483
53	0.9226262701
54	0.9206056947
55	0.9185809124
56	0.9164083373
57	0.9142073527
58	0.912742273
59	0.9108913267
60	0.9078985194
61	0.9054126296
62	0.9038137505
63	0.9007344806
64	0.8979945938
65	0.8958669165
66	0.8934578938
67	0.8912614246
68	0.888397892
69	0.8866550525
70	0.8847948971
71	0.8818893577
72	0.8794055796
73	0.8768156252
74	0.8754999579
75	0.8743907963
76	0.8726291055
77	0.871653109
78	0.8699139638
79	0.8675577499
80	0.8659648772
81	0.8642920327
82	0.8616568043
83	0.8602919294
84	0.8590807985
85	0.8568807977
86	0.8556278351
87	0.8540867452
88	0.853214152
89	0.8510735796
90	0.8500767974
91	0.8477919549
92	0.8459327581
93	0.8454225504
94	0.8425661871
95	0.8410048624
96	0.8384534457
97	0.835989334
98	0.834868477
99	0.8331933176
100	0.8303651202
101	0.8277793263
102	0.82641506
103	0.8248764524
104	0.8238324721
105	0.822188639
106	0.8205888449
107	0.8190255172
108	0.8176908217
109	0.8155421734
110	0.8148319995
111	0.8135748708
112	0.8121070014
113	0.8105173356
114	0.8091317668
115	0.8075941742
116	0.8051533837
117	0.804065356
118	0.8027475019
119	0.8017484591
120	0.8000579109
121	0.7991129528
122	0.7978556575
123	0.7959128312
124	0.7942587401
125	0.7929361532
126	0.7906371703
127	0.7893104815
128	0.7879478234
129	0.786016151
130	0.7841710055
131	0.7831632838
132	0.7823445824
133	0.7813464042
134	0.7790883236
135	0.7761556137
136	0.7743652064
137	0.7719596774
138	0.770843396
139	0.7702691637
140	0.7690050376
141	0.7665847979
142	0.7654729247
143	0.7641285562
144	0.7622770138
145	0.760869389
146	0.758443369
147	0.7568781529
148	0.7560308514
149	0.7535530609
150	0.7523155494
151	0.7512809056
152	0.7488133211
153	0.7466507814
154	0.7460037195
155	0.7450610624
156	0.744302499
157	0.7434072367
158	0.7424303795
159	0.7406905793
160	0.7383870428
161	0.7365784631
162	0.7349377893
163	0.7332723951
164	0.7323295327
165	0.7310385622
166	0.7298331149
167	0.7289850268
168	0.7272269642
169	0.7259890966
170	0.7246830597
171	0.7236775833
172	0.7226073366
173	0.7212349944
174	0.72033153
175	0.7184350778
176	0.7175806421
177	0.7155684063
178	0.7141814706
179	0.7123426596
180	0.7112231969
181	0.7093263425
182	0.7079221133
183	0.7058832688
184	0.7047291799
185	0.703452349
186	0.70209468
187	0.6996950195
188	0.6974898085
189	0.6967579629
190	0.695094002
191	0.6936941863
192	0.6921006965
193	0.6907476252
194	0.6900628413
195	0.6882721046
196	0.6862992311
197	0.6853058341
198	0.6835384723
199	0.6825712216
200	0.6811877245
201	0.6806199525
202	0.6795221369
203	0.6786152714
204	0.6774772116
205	0.6747643131
206	0.6740191415
207	0.6732376419
208	0.6710157154
209	0.6693270493
210	0.6669769427
211	0.6660506473
212	0.6648677363
213	0.6634108868
214	0.6623005684
215	0.659921173
216	0.6587237888
217	0.6566305521
218	0.6563948143
219	0.6555344384
220	0.6538556482
221	0.6513663026
222	0.6497371026
223	0.6493545679
224	0.6484261506
225	0.6471405303
226	0.6458304828
227	0.644871531
228	0.6428233192
229	0.6423352691
230	0.6400566313
231	0.6383523551
232	0.6364845363
233	0.6356466328
234	0.6344437866
235	0.633387959
236	0.632236072
237	0.631247521
238	0.6296093414
239	0.6283212554
240	0.6270870478
241	0.6258715203
242	0.6234214115
243	0.6213538556
244	0.6190060703
245	0.6183632751
246	0.617538454
247	0.6158545517
248	0.6140952346
249	0.6119139102
250	0.6102179896
251	0.6095401332
252	0.6089406537
253	0.6078532244
254	0.6064812414
255	0.6048494184
256	0.6041078339
257	0.6030601556
258	0.6022037125
259	0.6002830216
260	0.5990445677
261	0.5986521425
262	0.5961568601
263	0.5952190692
264	0.5945494947
265	0.5934451605
266	0.591941839
267	0.590099731
268	0.5897153308
269	0.5880081932
270	0.5860583811
271	0.5840358799
272	0.5817567945
273	0.5811835445
274	0.5793596138
275	0.5778141843
276	0.575524095
277	0.5748220272
278	0.5736682954
279	0.5722188644
280	0.5704327845
281	0.5685861638
282	0.568065908
283	0.5668565159
284	0.5652002311
285	0.5640456071
286	0.5631839732
287	0.5628368139
288	0.5608749341
289	0.5599536892
290	0.5594149063
291	0.5589056436
292	0.5583392846
293	0.5575409636
294	0.5553402422
295	0.5543089558
296	0.552642943
297	0.551357429
298	0.5499667501
299	0.5490727092
300	0.5476388392
301	0.5465307005
302	0.5453877741
303	0.544025544
304	0.5424450083
305	0.5417924541
306	0.5410310499
307	0.5397262505
308	0.5379751986
309	0.5361028394
310	0.5347618452
311	0.5331210009
312	0.5316538088
313	0.5299717214
314	0.5292453443
315	0.5286104275
316	0.52782886
317	0.5264683484
318	0.5246965413
319	0.5230039599
320	0.5213514628
321	0.5198914006
322	0.5189455906
323	0.5172468941
324	0.5165435426
325	0.5149997446
326	0.5141868049
327	0.5133367351
328	0.5116381851
329	0.5104159163
330	0.5090720891
331	0.507757489
332	0.5070890935
333	0.5056770479
334	0.5043265767
335	0.5036496843
336	0.5027835707
337	0.5020196358
338	0.500985698
339	0.499189737
340	0.4979674532
341	0.4966419501
342	0.4960226122
343	0.4954898611
344	0.49440364
345	0.4930997541
346	0.4915146769
347	0.4902226214
348	0.4896418314
349	0.4879250017
350	0.4868888183
351	0.4858253903
352	0.4840443463
353	0.4823285217
354	0.4803698601
355	0.4794123684
356	0.4785726773
357	0.4774076618
358	0.4759594241
359	0.4751555036
360	0.4746780079
361	0.473988124
362	0.4733027033
363	0.4719076811
364	0.4714755486
365	0.4700904637
366	0.46879423
367	0.4677870171
368	0.4662912129
369	0.4648094527
370	0.4632293328
371	0.4622185869
372	0.4607159135
373	0.4593337121
374	0.4584038837
375	0.4570692234
376	0.4558094322
377	0.4546389347
378	0.4544084711
379	0.4532011332
380	0.4521341039
381	0.4506783282
382	0.4500126505
383	0.4491857114
384	0.4482490245
385	0.447275213
386	0.4465909071
387	0.4453949602
388	0.4439923862
389	0.4430307224
390	0.4423273346
391	0.4414082631
392	0.4406163717
393	0.4399974182
394	0.438944982
395	0.4381854164
396	0.4378248257
397	0.4365768796
398	0.436028696
399	0.435340336
400	0.4348204578
401	0.4345205635
402	0.4335882924
403	0.4325370438
404	0.4318874124
405	0.4308211609
406	0.429657104
407	0.4286862242
408	0.4279064594
409	0.426497303
410	0.4249592168
411	0.4236402026
412	0.4231436562
413	0.4223408306
414	0.4213262596
415	0.4210813922
416	0.420339975
417	0.4190108833
418	0.4184997413
419	0.4176751691
420	0.4172851166
421	0.4167316226
422	0.4161858587
423	0.4149703636
424	0.4141458821
425	0.4125378412
426	0.4111617955
427	0.410656747
428	0.4102332611
429	0.4088703334
430	0.4075455111
431	0.4067217478
432	0.4057563709
433	0.4051740504
434	0.404436166
435	0.4038741102
436	0.4030313222
437	0.4024418412
438	0.4011147928
439	0.4002627177
440	0.3993836249
441	0.3984697457
442	0.3976336494
443	0.3968721225
444	0.3966309939
445	0.3962172213
446	0.3957642224
447	0.3952268924
448	0.3938697851
449	0.393613644
450	0.3928709274
451	0.3925384124
452	0.3917553293
453	0.3914193655
454	0.3902030642
455	0.3897151679
456	0.3888913015
457	0.3885266729
458	0.3876846489
459	0.3869227106
460	0.3863230977
461	0.3860676253
462	0.3848306133
463	0.3845475516
464	0.3842055247
465	0.3835793675
466	0.3829916989
467	0.3817541148
468	0.3807225605
469	0.3802412956
470	0.3795807455
471	0.3786033761
472	0.3776234099
473	0.3773411445
474	0.3765337518
475	0.3763487943
476	0.3757535501
477	0.3748160337
478	0.3743565072
479	0.3730527795
480	0.3722024575
481	0.3712570163
482	0.3705336203
483	0.3697192837
484	0.3689690901
485	0.3679125769
486	0.3671363911
487	0.3662094755
488	0.365194279
489	0.3646632302
490	0.3635423615
491	0.3631990081
492	0.3620766668
493	0.3615728054
494	0.3606507851
495	0.3596159589
496	0.3592090903
497	0.3584740856
498	0.3583689352
499	0.3578641276
